"","1","2","3","4","5"
"Arts and humanities",5,6,9,9,13
"Clinical, pre-clinical and health",3,0,7,2,1
"Computer science",4,0,2,1,0
"Education",0,3,1,0,1
"Engineering and technology",2,0,3,1,0
"Law",1,2,2,1,1
"Life sciences",13,18,31,6,12
"Other",2,4,4,3,2
"Physical science",1,4,5,1,0
"Psychology",4,2,4,3,4
"Social sciences",1,4,4,5,1
