"","1","2","3","4","5"
"Arts and humanities",3,6,13,12,8
"Clinical, pre-clinical and health",2,2,4,3,2
"Computer science",2,1,2,1,1
"Education",0,0,3,1,1
"Engineering and technology",0,3,1,1,1
"Law",1,2,0,0,4
"Life sciences",7,10,20,24,19
"Other",0,5,4,4,2
"Physical science",0,5,1,4,1
"Psychology",3,2,6,5,1
"Social sciences",2,1,6,0,6
