"","2","3","4","5"
"Arts and humanities",4,7,25,6
"Clinical, pre-clinical and health",0,6,6,1
"Computer science",0,3,4,0
"Education",0,1,3,1
"Engineering and technology",0,2,3,1
"Law",0,1,4,2
"Life sciences",1,15,51,13
"Other",0,4,6,5
"Physical science",0,7,2,2
"Psychology",1,6,8,2
"Social sciences",1,3,8,3
