"","1","2","3","4","5"
"Arts and humanities",0,2,10,15,15
"Clinical, pre-clinical and health",1,2,4,3,3
"Computer science",2,0,3,1,1
"Education",0,0,1,3,1
"Engineering and technology",0,0,2,1,3
"Law",0,2,1,2,2
"Life sciences",0,4,16,30,30
"Other",0,0,5,5,5
"Physical science",0,3,2,4,2
"Psychology",2,2,5,3,5
"Social sciences",0,2,1,6,6
